song,songLabel,release_date,performerLabel,nominatedLabel,awardLabel
http://www.wikidata.org/entity/Q19508151,Christine,2014-10-13T00:00:00Z,Christine and the Queens,,Victoire du vidéo-clip
http://www.wikidata.org/entity/Q18301819,Something From Nothing,2014-10-17T00:00:00Z,Foo Fighters,Grammy Award for Best Rock Performance,
http://www.wikidata.org/entity/Q18559542,Uptown Funk,2014-11-10T00:00:00Z,Bruno Mars,,BRIT Awards
http://www.wikidata.org/entity/Q18559542,Uptown Funk,2014-11-10T00:00:00Z,Mark Ronson,,BRIT Awards
http://www.wikidata.org/entity/Q18823031,Glory,2014-12-11T00:00:00Z,Common,,Academy Award for Best Original Song
http://www.wikidata.org/entity/Q18786541,Earned It,2014-12-23T00:00:00Z,The Weeknd,Academy Awards,
http://www.wikidata.org/entity/Q18786541,Earned It,2014-12-23T00:00:00Z,The Weeknd,,Grammy Award for Best R&B Performance
http://www.wikidata.org/entity/Q19275263,Grande amore,2015-01-01T00:00:00Z,Il Volo,,Sanremo Music Festival award
http://www.wikidata.org/entity/Q55092587,Trymai,2015-01-01T00:00:00Z,Khrystyna Soloviy,,YUNA for Best Music Video
http://www.wikidata.org/entity/Q19310332,2080-luvulla,2015-02-13T00:00:00Z,Sanni Kurkisuo,,platinum record
http://www.wikidata.org/entity/Q19822733,Ik heb een man gekend,2015-04-19T00:00:00Z,Yentl en de Boer,,Annie M.G. Schmidt Prize
http://www.wikidata.org/entity/Q19856909,Maria Salvador,2015-04-24T00:00:00Z,J-Ax,,platinum record
http://www.wikidata.org/entity/Q19851006,Stressed Out,2015-04-28T00:00:00Z,Twenty One Pilots,,Grammy Award for Best Pop Duo/Group Performance
http://www.wikidata.org/entity/Q19851006,Stressed Out,2015-04-28T00:00:00Z,Twenty One Pilots,Grammy Award for Record of the Year,
http://www.wikidata.org/entity/Q20856833,Back to Back,2015-07-29T00:00:00Z,Drake,,Grammy Awards
http://www.wikidata.org/entity/Q20992398,Hotline Bling,2015-07-31T00:00:00Z,Drake,,Grammy Award for Best Melodic Rap Performance
http://www.wikidata.org/entity/Q20962306,Writing's on the Wall,2015-09-25T00:00:00Z,Sam Smith,Academy Award for Best Original Song,
http://www.wikidata.org/entity/Q20962306,Writing's on the Wall,2015-09-25T00:00:00Z,Sam Smith,Golden Globe Award for Best Original Song,
http://www.wikidata.org/entity/Q108033921,Shin Takarajima,2015-09-30T00:00:00Z,Sakanaction,MTV Video Music Awards Japan,
http://www.wikidata.org/entity/Q57836536,Hello,2015-10-23T00:00:00Z,Adele,,Grammy Award for Record of the Year
http://www.wikidata.org/entity/Q57836536,Hello,2015-10-23T00:00:00Z,Adele,,Brit Award for British Single of the Year
http://www.wikidata.org/entity/Q28830025,My Name Is Human,2016-01-01T00:00:00Z,Highly Suspect,Grammy Awards,
http://www.wikidata.org/entity/Q85131541,Roses,2016-01-01T00:00:00Z,Saint Jhn,,"Grammy Award for Best Remixed Recording, Non-Classical"
http://www.wikidata.org/entity/Q22662704,My Church,2016-01-19T00:00:00Z,Maren Morris,Grammy Award for Best Country Song,
http://www.wikidata.org/entity/Q22704382,Un giorno mi dirai,2016-02-10T00:00:00Z,Stadio,,Sanremo Music Festival award
http://www.wikidata.org/entity/Q20992398,Hotline Bling,2016-05-06T00:00:00Z,Drake,,Grammy Award for Best Melodic Rap Performance
http://www.wikidata.org/entity/Q27830742,Ahnma,2016-06-03T00:00:00Z,Gentleman,,Preis für Popkultur
http://www.wikidata.org/entity/Q27830742,Ahnma,2016-06-03T00:00:00Z,Beginner,,Preis für Popkultur
http://www.wikidata.org/entity/Q27830742,Ahnma,2016-06-03T00:00:00Z,Gzuz,,Preis für Popkultur
http://www.wikidata.org/entity/Q24664844,Heathens,2016-06-16T00:00:00Z,Twenty One Pilots,Grammy Award for Best Rock Performance,
http://www.wikidata.org/entity/Q29949670,Q29949670,2016-09-22T00:00:00Z,Kong Huayrai,,Nataraj Awards for Best Drama Music
