song,songLabel,release_date,performerLabel,nominated,nominatedLabel,nomination_year,award,awardLabel,award_year
http://www.wikidata.org/entity/Q15256297,Ordinary Love,2013-11-29T00:00:00Z,U2,http://www.wikidata.org/entity/Q1472235,Golden Globe Award for Best Original Song,,,,
http://www.wikidata.org/entity/Q15284481,Ain't It Fun,2014-02-04T00:00:00Z,Paramore,,,,http://www.wikidata.org/entity/Q282636,Grammy Award for Best Rock Song,
http://www.wikidata.org/entity/Q15727557,The Moon Song,2014-02-11T00:00:00Z,Karen O,http://www.wikidata.org/entity/Q19020,Academy Awards,,,,
http://www.wikidata.org/entity/Q16543942,Controvento,2014-02-18T00:00:00Z,Arisa,,,,http://www.wikidata.org/entity/Q84321390,Sanremo Music Festival award,
http://www.wikidata.org/entity/Q1163530,Word Up!,2014-03-14T00:00:00Z,Little Mix,,,,http://www.wikidata.org/entity/Q7564362,"Soul Train Music Award for Best R&B/Soul Single, Group, Band or Duo",
http://www.wikidata.org/entity/Q1163530,Word Up!,2014-03-14T00:00:00Z,Cameo,,,,http://www.wikidata.org/entity/Q7564362,"Soul Train Music Award for Best R&B/Soul Single, Group, Band or Duo",
http://www.wikidata.org/entity/Q1163530,Word Up!,2014-03-14T00:00:00Z,Little Mix,http://www.wikidata.org/entity/Q7564362,"Soul Train Music Award for Best R&B/Soul Single, Group, Band or Duo",,,,
http://www.wikidata.org/entity/Q1163530,Word Up!,2014-03-14T00:00:00Z,Cameo,http://www.wikidata.org/entity/Q7564362,"Soul Train Music Award for Best R&B/Soul Single, Group, Band or Duo",,,,
http://www.wikidata.org/entity/Q16634732,Bailando,2014-03-28T00:00:00Z,Enrique Iglesias,http://www.wikidata.org/entity/Q6496400,Latin Grammy Award for Best Urban Song,,,,
http://www.wikidata.org/entity/Q16634732,Bailando,2014-03-28T00:00:00Z,Descemer Bueno,http://www.wikidata.org/entity/Q6496400,Latin Grammy Award for Best Urban Song,,,,
http://www.wikidata.org/entity/Q16634732,Bailando,2014-03-28T00:00:00Z,Gente de Zona,http://www.wikidata.org/entity/Q6496400,Latin Grammy Award for Best Urban Song,,,,
http://www.wikidata.org/entity/Q16634732,Bailando,2014-03-28T00:00:00Z,Enrique Iglesias,http://www.wikidata.org/entity/Q6496408,Latin Grammy Award for Song of the Year,,,,
http://www.wikidata.org/entity/Q16634732,Bailando,2014-03-28T00:00:00Z,Descemer Bueno,http://www.wikidata.org/entity/Q6496408,Latin Grammy Award for Song of the Year,,,,
http://www.wikidata.org/entity/Q16634732,Bailando,2014-03-28T00:00:00Z,Gente de Zona,http://www.wikidata.org/entity/Q6496408,Latin Grammy Award for Song of the Year,,,,
http://www.wikidata.org/entity/Q17151597,Vadelmavene,2014-04-04T00:00:00Z,Kasmir,,,,http://www.wikidata.org/entity/Q521371,gold record,
