index,title,title_url,written_by,written_by_url,originally_by,originally_by_url,covers,adaptations
2434,Somewhere in My Car,https://secondhandsongs.com/work/210929,"Keith Urban, J.T. Harding","https://secondhandsongs.com/artist/27451, https://secondhandsongs.com/artist/110170",Keith Urban,https://secondhandsongs.com/artist/27451,2,0
2435,Is He Worthy?,https://secondhandsongs.com/work/211038,"Andrew Peterson, Ben Shive","https://secondhandsongs.com/artist/127286, https://secondhandsongs.com/artist/150362",Andrew Peterson,https://secondhandsongs.com/artist/127286,2,0
2436,Bon appétit,https://secondhandsongs.com/work/211089,"Max Martin [SE], Katy Perry, Shellback, Ferras, Oscar Holter, Offset, Quavo, Takeoff","https://secondhandsongs.com/artist/4465, https://secondhandsongs.com/artist/35338, https://secondhandsongs.com/artist/69750, https://secondhandsongs.com/artist/100446, https://secondhandsongs.com/artist/103062, https://secondhandsongs.com/artist/107418, https://secondhandsongs.com/artist/107420, https://secondhandsongs.com/artist/109899",Katy Perry feat. Migos,https://secondhandsongs.com/artist/35338+107423,2,0
2437,Dreams,https://secondhandsongs.com/work/211136,"Beck, Greg Kurstin, Andrew Wyatt","https://secondhandsongs.com/artist/7561, https://secondhandsongs.com/artist/40946, https://secondhandsongs.com/artist/50214",Beck,https://secondhandsongs.com/artist/7561,2,0
2438,Wow,https://secondhandsongs.com/work/211137,"Beck, Cole M.G.N.","https://secondhandsongs.com/artist/7561, https://secondhandsongs.com/artist/127059",Beck,https://secondhandsongs.com/artist/7561,2,0
2439,Dirty Laundry,https://secondhandsongs.com/work/211183,"Nick Long, Alex Gaskarth, Nicholas Furlong, Colin Brittain","https://secondhandsongs.com/artist/103286, https://secondhandsongs.com/artist/111206, https://secondhandsongs.com/artist/132833, https://secondhandsongs.com/artist/150532",All Time Low,https://secondhandsongs.com/artist/31136,2,0
2440,Missing You,https://secondhandsongs.com/work/211184,"Jake Gosling, Chris Leonard, Alex Gaskarth","https://secondhandsongs.com/artist/71788, https://secondhandsongs.com/artist/78403, https://secondhandsongs.com/artist/111206",All Time Low,https://secondhandsongs.com/artist/31136,2,0
2441,Loving You Easy,https://secondhandsongs.com/work/211341,"Al Anderson, Zac Brown, Niko Moon","https://secondhandsongs.com/artist/15410, https://secondhandsongs.com/artist/95240, https://secondhandsongs.com/artist/111580",Zac Brown Band,https://secondhandsongs.com/artist/72068,2,0
2442,Beautiful Drug,https://secondhandsongs.com/work/211342,"Zac Brown, Niko Moon","https://secondhandsongs.com/artist/95240, https://secondhandsongs.com/artist/111580",Zac Brown Band,https://secondhandsongs.com/artist/72068,2,0
2443,Out of Love,https://secondhandsongs.com/work/211344,"Rick Nowels, Björn Yttling, Lykke Li","https://secondhandsongs.com/artist/4953, https://secondhandsongs.com/artist/37623, https://secondhandsongs.com/artist/53747",Alessia Cara,https://secondhandsongs.com/artist/90447,2,0
2444,Breath of Life,https://secondhandsongs.com/work/211389,"Florence Welch, Isabella Summers","https://secondhandsongs.com/artist/40323, https://secondhandsongs.com/artist/70475",Florence + The Machine,https://secondhandsongs.com/artist/179370,2,0
2445,Much Needed Advice,https://secondhandsongs.com/work/212053,"Michael Giacchino, Germaine Franco, Adrian Molina","https://secondhandsongs.com/artist/117022, https://secondhandsongs.com/artist/150660, https://secondhandsongs.com/artist/150661",Benjamin Bratt and Antonio Sol,https://secondhandsongs.com/artist/121400+151360,2,1
2446,Everyone Knows Juanita,https://secondhandsongs.com/work/212054,"Germaine Franco, Adrian Molina","https://secondhandsongs.com/artist/150660, https://secondhandsongs.com/artist/150661",Gael García Bernal,https://secondhandsongs.com/artist/122461,2,1
2447,715 - CR∑∑KS,https://secondhandsongs.com/work/212063,Justin Vernon,https://secondhandsongs.com/artist/41723,Bon Iver,https://secondhandsongs.com/artist/41724,2,0
